car_id,price,car_age,engine_volume,cylinders,car_run_km,safety_feature_count,comfort_feature_count,manufacturer,model,fuel_type,gear_type,drive_type,color,category,abs,esd,el_windows,conditioner,leather,hydraulics,chair_warming,climat_control,customs_passed,tech_inspection,has_turbo,right_wheel,start_stop,back_camera,is_dealer,is_spec
74874053,9300.0,15,3000.0,6,224000.0,2,22,BMW,X5,Diesel,Tiptronic,4x4,Grey,Jeep,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0
74037205,43000.0,7,4400.0,8,38000.0,3,24,BMW,750,Petrol,Tiptronic,Rear,White,Sedan,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0
74836637,55000.0,4,3500.0,6,11250.0,3,39,Lexus,LS 500,Petrol,Automatic,4x4,Silver,Sedan,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0
74912421,35000.0,14,4000.0,6,213000.0,3,23,Toyota,Land Cruiser,Petrol,Automatic,4x4,Black,Jeep,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0
74923781,9200.0,13,1800.0,4,144000.0,3,24,Mercedes-Benz,C 250,Petrol,Tiptronic,Rear,Blue,Sedan,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0
74986493,5300.0,22,3200.0,12,307000.0,1,33,Mercedes-Benz,E 320,Petrol,Tiptronic,Rear,Golden,Sedan,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0
74486505,6700.0,10,1800.0,4,119000.0,2,18,Volkswagen,Passat,Petrol,Tiptronic,Front,White,Sedan,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0
74983353,16685.0,14,1800.0,4,154152.0,2,14,Toyota,Prius,Hybrid,Automatic,Front,Grey,Hatchback,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0
74798229,5300.0,13,1600.0,4,103000.0,3,21,Kia,Rio,Petrol,Tiptronic,Front,Carnelian red,Hatchback,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0
74956949,14200.0,10,2000.0,6,91000.0,3,21,BMW,428,Petrol,Tiptronic,Rear,White,Coupe,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0
74486149,11250.0,6,2000.0,4,46400.0,3,23,Ford,Fusion,Hybrid,Variator,Front,Grey,Sedan,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0
74570405,4500.0,12,2000.0,4,95000.0,3,23,Ford,Fusion,Petrol,Automatic,Front,Silver,Sedan,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0
74685969,35000.0,11,3000.0,6,97000.0,3,24,BMW,M4,Petrol,Manual,Rear,Grey,Coupe,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0
74841501,5550.0,15,1800.0,4,172755.0,3,17,Toyota,Prius,Hybrid,Variator,Front,White,Sedan,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0
74832713,2200.0,19,1200.0,4,163581.0,2,13,Opel,Corsa,Petrol,Manual,Front,Silver,Hatchback,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0
73239293,10799.0,15,3000.0,6,209000.0,2,22,BMW,X5,Diesel,Automatic,4x4,Black,Jeep,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0
74628909,12000.0,13,3700.0,6,115000.0,3,16,Ford,Mustang,Petrol,Manual,Rear,White,Coupe,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0
74807733,35500.0,10,3000.0,4,155000.0,3,39,Porsche,Macan,Petrol,Tiptronic,4x4,Black,Jeep,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0
74565049,43000.0,9,4700.0,8,98200.0,3,24,Mercedes-Benz,S 550,Petrol,Tiptronic,4x4,Black,Sedan,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0
74921857,6000.0,19,2000.0,4,127000.0,1,9,Subaru,Forester,Petrol,Tiptronic,4x4,Grey,Universal,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0
74446265,29500.0,7,4000.0,6,45000.0,3,23,Toyota,4 Runner,Petrol,Automatic,4x4,Grey,Jeep,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0
74769229,41000.0,10,4800.0,8,85000.0,3,23,Mercedes-Benz,S 550,Petrol,Tiptronic,Rear,Grey,Sedan,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0
71157411,5700.0,12,1600.0,4,155000.0,2,12,Mini,Cooper,Petrol,Tiptronic,Front,Black,Hatchback,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0
74677473,45000.0,10,3000.0,6,59000.0,3,39,Porsche,Macan,Petrol,Tiptronic,4x4,Black,Jeep,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0
74513589,9300.0,12,2500.0,4,82267.0,3,23,Toyota,Camry,Petrol,Automatic,Front,Silver,Sedan,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0
